t,segment_id,segment_name
0.0,44,straight
2.15,44,straight
2.65,44,straight
2.95,44,straight
3.15,44,straight
3.35,44,straight
3.5,44,straight
3.6,44,straight
3.7,44,straight
3.8,44,straight
3.9,44,straight
3.95,44,straight
4.05,44,straight
4.1,44,straight
4.2,44,straight
4.25,44,straight
4.3,44,straight
4.4,44,straight
4.45,44,straight
4.5,44,straight
4.55,44,straight
4.6,44,straight
4.7,44,straight
4.75,44,straight
4.8,44,straight
4.85,44,straight
4.9,44,straight
4.95,44,straight
5.0,44,straight
5.05,44,straight
5.1,44,straight
5.15,44,straight
5.2,44,straight
5.25,44,straight
5.3,44,straight
5.35,44,straight
5.4,44,straight
5.45,44,straight
5.5,44,straight
5.55,44,straight
5.6,44,straight
5.65,44,straight
5.7,44,straight
5.75,44,straight
5.8,44,straight
5.85,44,straight
5.9,44,straight
5.95,44,straight
6.0,44,straight
6.05,44,straight
6.1,44,straight
6.15,44,straight
6.2,44,straight
6.25,44,straight
6.3,44,straight
6.35,44,straight
6.4,44,straight
6.45,44,straight
6.5,44,straight
6.55,44,straight
6.6,44,straight
6.65,44,straight
6.7,44,straight
6.75,44,straight
6.8,44,straight
6.85,44,straight
6.9,44,straight
6.95,44,straight
7.0,44,straight
7.05,44,straight
7.1,44,straight
7.15,44,straight
7.2,44,straight
7.25,44,straight
7.3,44,straight
7.35,44,straight
7.4,44,straight
7.45,44,straight
7.5,44,straight
7.55,44,straight
7.6,44,straight
7.65,44,straight
7.7,44,straight
7.75,44,straight
7.8,44,straight
7.85,44,straight
7.9,44,straight
7.95,44,straight
8.0,44,straight
8.05,44,straight
8.1,44,straight
8.15,44,straight
8.2,44,straight
8.25,44,straight
8.3,44,straight
8.35,44,straight
8.4,44,straight
8.45,44,straight
8.5,44,straight
8.55,44,straight
8.6,44,straight
8.65,44,straight
8.7,44,straight
8.75,44,straight
8.8,44,straight
8.85,44,straight
8.9,44,straight
8.95,44,straight
9.0,44,straight
9.05,44,straight
9.1,44,straight
9.15,44,straight
9.2,44,straight
9.25,44,straight
9.3,44,straight
9.35,44,straight
9.4,44,straight
9.45,44,straight
9.5,44,straight
9.55,44,straight
9.6,44,straight
9.65,44,straight
9.7,44,straight
9.75,44,straight
9.8,44,straight
9.85,44,straight
9.9,44,straight
9.95,44,straight
10.0,44,straight
10.05,44,straight
10.1,44,straight
10.15,44,straight
10.2,44,straight
10.25,44,straight
10.3,44,straight
10.35,44,straight
10.4,44,straight
10.45,44,straight
10.5,44,straight
10.55,44,straight
10.6,44,straight
10.65,44,straight
10.7,44,straight
10.75,44,straight
10.8,44,straight
10.85,44,straight
10.9,44,straight
10.95,44,straight
11.0,44,straight
11.05,44,straight
11.15,44,straight
11.2,44,straight
11.25,44,straight
11.3,44,straight
11.35,44,straight
11.4,44,straight
11.45,44,straight
11.5,44,straight
11.55,44,straight
11.6,44,straight
11.65,44,straight
11.7,44,straight
11.75,44,straight
11.8,44,straight
11.85,44,straight
11.9,44,straight
11.95,44,straight
12.0,44,straight
12.05,44,straight
12.1,44,straight
12.15,44,straight
12.2,44,straight
12.25,44,straight
12.3,44,straight
12.35,44,straight
12.4,44,straight
12.45,44,straight
12.5,44,straight
12.55,44,straight
12.6,44,straight
12.65,44,straight
12.7,44,straight
12.75,44,straight
12.8,44,straight
12.85,44,straight
12.9,44,straight
12.95,44,straight
13.0,44,straight
13.05,44,straight
13.1,44,straight
13.15,44,straight
13.2,44,straight
13.25,44,straight
13.3,44,straight
13.35,44,straight
13.4,44,straight
13.45,44,straight
13.5,44,straight
13.55,44,straight
13.6,44,straight
13.65,44,straight
13.7,44,straight
13.75,44,straight
13.8,44,straight
13.85,44,straight
13.9,44,straight
13.95,44,straight
14.0,44,straight
14.05,44,straight
14.1,44,straight
14.15,44,straight
14.2,44,straight
14.25,44,straight
14.3,44,straight
14.35,44,straight
14.4,44,straight
14.45,44,straight
14.5,44,straight
14.55,44,straight
14.6,44,straight
14.65,44,straight
14.7,44,straight
14.75,44,straight
14.8,44,straight
14.85,44,straight
14.9,44,straight
14.95,44,straight
15.0,44,straight
15.05,44,straight
15.1,44,straight
15.15,44,straight
15.2,44,straight
15.3,44,straight
15.35,44,straight
15.4,44,straight
15.45,44,straight
15.55,44,straight
15.6,44,straight
15.65,44,straight
15.75,44,straight
15.8,44,straight
15.85,44,straight
15.9,44,straight
15.95,44,straight
16.0,44,straight
16.05,44,straight
16.1,44,straight
16.15,44,straight
16.2,44,straight
16.25,44,straight
16.3,44,straight
16.35,44,straight
16.4,44,straight
16.45,44,straight
16.5,44,straight
16.55,44,straight
16.6,44,straight
16.65,44,straight
16.7,44,straight
16.75,44,straight
16.8,44,straight
16.85,44,straight
16.9,44,straight
16.95,44,straight
17.0,44,straight
17.05,44,straight
17.1,44,straight
17.15,44,straight
17.2,44,straight
17.3,44,straight
17.35,44,straight
17.4,44,straight
17.5,44,straight
17.55,44,straight
17.65,44,straight
17.7,44,straight
17.75,44,straight
17.85,44,straight
17.9,44,straight
18.0,44,straight
18.05,44,straight
18.15,44,straight
18.2,44,straight
18.3,44,straight
18.35,44,straight
18.45,44,straight
18.5,44,straight
18.6,45,curve
18.65,45,curve
18.75,45,curve
18.8,45,curve
18.9,45,curve
18.95,45,curve
19.05,45,curve
19.1,45,curve
19.2,45,curve
19.25,45,curve
19.3,45,curve
19.4,45,curve
19.45,45,curve
19.55,45,curve
19.6,45,curve
19.65,45,curve
19.75,45,curve
19.8,45,curve
19.85,45,curve
19.95,45,curve
20.0,45,curve
20.1,45,curve
20.15,45,curve
20.2,45,curve
20.3,45,curve
20.35,45,curve
20.4,45,curve
20.5,45,curve
20.55,45,curve
20.6,45,curve
20.7,45,curve
20.75,45,curve
20.85,45,curve
20.9,45,curve
20.95,45,curve
21.05,45,curve
21.1,45,curve
21.2,45,curve
21.25,45,curve
21.3,45,curve
21.4,45,curve
21.45,45,curve
21.55,45,curve
21.6,45,curve
21.7,45,curve
21.75,45,curve
21.85,45,curve
21.9,45,curve
21.95,45,curve
22.05,45,curve
22.1,45,curve
22.2,45,curve
22.25,45,curve
22.35,45,curve
22.4,45,curve
22.5,45,curve
22.55,45,curve
22.6,45,curve
22.7,45,curve
22.75,45,curve
22.85,45,curve
22.9,45,curve
23.0,45,curve
23.05,45,curve
23.1,45,curve
23.2,45,curve
23.25,45,curve
23.35,45,curve
23.4,45,curve
23.5,45,curve
23.55,45,curve
23.65,45,curve
23.7,45,curve
23.8,45,curve
23.85,45,curve
23.95,45,curve
24.0,45,curve
24.05,45,curve
24.15,45,curve
24.2,45,curve
24.3,45,curve
24.35,45,curve
24.45,45,curve
24.5,45,curve
24.6,45,curve
24.65,45,curve
24.7,45,curve
24.8,45,curve
24.85,45,curve
24.95,45,curve
25.0,45,curve
25.05,45,curve
25.15,45,curve
25.2,45,curve
25.3,45,curve
25.35,45,curve
25.4,45,curve
25.5,45,curve
25.55,45,curve
25.6,45,curve
25.7,45,curve
25.75,45,curve
25.85,45,curve
25.9,45,curve
25.95,45,curve
26.05,45,curve
26.1,45,curve
26.2,45,curve
26.25,45,curve
26.3,45,curve
26.4,45,curve
26.45,45,curve
26.55,45,curve
26.6,45,curve
26.65,45,curve
26.7,45,curve
26.8,45,curve
26.85,46,straight
26.9,46,straight
26.95,46,straight
27.0,46,straight
27.05,46,straight
27.1,46,straight
27.15,46,straight
27.2,47,curve
27.25,47,curve
27.3,47,curve
27.35,47,curve
27.4,47,curve
27.45,47,curve
27.5,47,curve
27.55,47,curve
27.6,47,curve
27.65,47,curve
27.7,47,curve
27.75,47,curve
27.8,47,curve
27.85,47,curve
27.9,47,curve
27.95,47,curve
28.0,2,straight
28.05,2,straight
28.1,2,straight
28.15,2,straight
28.2,2,straight
28.25,2,straight
28.3,2,straight
28.35,2,straight
28.4,2,straight
28.45,2,straight
28.5,2,straight
28.55,2,straight
28.6,2,straight
28.65,2,straight
28.7,2,straight
28.75,2,straight
28.8,2,straight
28.85,2,straight
28.9,2,straight
28.95,2,straight
29.0,2,straight
29.05,2,straight
29.1,2,straight
29.15,2,straight
29.2,2,straight
29.25,2,straight
29.3,2,straight
29.35,2,straight
29.4,2,straight
29.45,2,straight
29.5,2,straight
29.55,2,straight
29.6,2,straight
29.65,2,straight
29.7,2,straight
29.75,2,straight
29.8,2,straight
29.85,2,straight
29.9,2,straight
29.95,2,straight
30.0,2,straight
30.05,2,straight
30.1,2,straight
30.15,2,straight
30.2,2,straight
30.25,2,straight
30.3,2,straight
30.35,2,straight
30.4,2,straight
30.45,2,straight
30.5,2,straight
30.55,2,straight
30.6,2,straight
30.65,2,straight
30.7,2,straight
30.75,2,straight
30.8,2,straight
30.85,2,straight
30.9,2,straight
30.95,2,straight
31.0,2,straight
31.05,2,straight
31.1,2,straight
31.15,2,straight
31.2,2,straight
31.25,2,straight
31.3,2,straight
31.35,2,straight
31.4,2,straight
31.45,2,straight
31.5,2,straight
31.55,2,straight
31.6,2,straight
31.65,2,straight
31.7,2,straight
31.75,2,straight
31.8,2,straight
31.85,2,straight
31.9,3,curve
31.95,3,curve
32.0,4,straight
32.05,4,straight
32.1,4,straight
32.15,4,straight
32.2,4,straight
32.25,4,straight
32.3,4,straight
32.35,4,straight
32.4,4,straight
32.45,4,straight
32.5,4,straight
32.55,4,straight
32.6,4,straight
32.65,4,straight
32.75,4,straight
32.8,4,straight
32.85,4,straight
32.95,4,straight
33.0,4,straight
33.05,4,straight
33.15,4,straight
33.2,4,straight
33.25,4,straight
33.35,4,straight
33.4,4,straight
33.45,4,straight
33.5,4,straight
33.55,4,straight
33.6,4,straight
33.65,4,straight
33.7,4,straight
33.75,4,straight
33.8,4,straight
33.85,4,straight
33.9,4,straight
34.0,4,straight
34.05,4,straight
34.1,4,straight
34.15,4,straight
34.2,4,straight
34.25,4,straight
34.3,4,straight
34.35,4,straight
34.4,4,straight
34.45,4,straight
34.5,4,straight
34.55,5,curve
34.6,5,curve
34.65,5,curve
34.7,5,curve
34.75,5,curve
34.8,5,curve
34.85,5,curve
34.9,5,curve
34.95,5,curve
35.0,5,curve
35.05,5,curve
35.15,5,curve
35.2,5,curve
35.25,5,curve
35.3,5,curve
35.35,5,curve
35.4,5,curve
35.45,5,curve
35.5,5,curve
35.55,5,curve
35.6,5,curve
35.65,5,curve
35.75,5,curve
35.8,5,curve
35.85,5,curve
35.9,5,curve
35.95,5,curve
36.0,5,curve
36.05,5,curve
36.1,7,curve
36.2,7,curve
36.25,7,curve
36.3,7,curve
36.35,7,curve
36.4,7,curve
36.45,7,curve
36.55,7,curve
36.6,7,curve
36.65,7,curve
36.7,7,curve
36.75,7,curve
36.8,7,curve
36.85,7,curve
36.95,7,curve
37.0,7,curve
37.05,7,curve
37.1,7,curve
37.15,7,curve
37.2,7,curve
37.3,7,curve
37.35,7,curve
37.4,7,curve
37.45,7,curve
37.5,7,curve
37.6,7,curve
37.65,7,curve
37.7,7,curve
37.75,7,curve
37.8,7,curve
37.9,7,curve
37.95,7,curve
38.0,7,curve
38.05,7,curve
38.1,7,curve
38.15,7,curve
38.25,7,curve
38.3,7,curve
38.35,7,curve
38.4,7,curve
38.45,7,curve
38.5,8,straight
38.55,8,straight
38.6,8,straight
38.65,8,straight
38.7,8,straight
38.75,8,straight
38.8,8,straight
38.85,8,straight
38.9,8,straight
38.95,8,straight
39.0,8,straight
39.05,8,straight
39.1,8,straight
39.15,8,straight
39.2,8,straight
39.25,8,straight
39.3,8,straight
39.35,8,straight
39.4,8,straight
39.45,8,straight
39.5,8,straight
39.55,8,straight
39.6,8,straight
39.65,8,straight
39.7,8,straight
39.75,8,straight
39.8,8,straight
39.85,8,straight
39.9,8,straight
39.95,8,straight
40.0,8,straight
40.05,8,straight
40.1,8,straight
40.15,8,straight
40.2,8,straight
40.25,8,straight
40.3,8,straight
40.35,8,straight
40.4,8,straight
40.45,8,straight
40.5,8,straight
40.55,8,straight
40.6,8,straight
40.65,8,straight
40.7,8,straight
40.75,8,straight
40.8,8,straight
40.85,8,straight
40.9,8,straight
40.95,8,straight
41.0,8,straight
41.05,8,straight
41.1,8,straight
41.15,8,straight
41.2,8,straight
41.25,8,straight
41.3,8,straight
41.35,8,straight
41.4,8,straight
41.45,8,straight
41.5,8,straight
41.55,8,straight
41.6,8,straight
41.65,8,straight
41.7,8,straight
41.75,8,straight
41.8,8,straight
41.85,8,straight
41.9,8,straight
41.95,8,straight
42.0,8,straight
42.05,8,straight
42.1,8,straight
42.15,8,straight
42.2,8,straight
42.25,8,straight
42.3,8,straight
42.35,8,straight
42.4,8,straight
42.45,8,straight
42.5,8,straight
42.55,8,straight
42.6,8,straight
42.65,8,straight
42.7,8,straight
42.75,8,straight
42.8,8,straight
42.85,8,straight
42.9,8,straight
42.95,8,straight
43.0,8,straight
43.05,8,straight
43.1,8,straight
43.15,8,straight
43.2,8,straight
43.25,8,straight
43.3,8,straight
43.35,8,straight
43.4,8,straight
43.45,8,straight
43.5,8,straight
43.55,8,straight
43.6,8,straight
43.65,8,straight
43.7,8,straight
43.75,8,straight
43.8,8,straight
43.85,8,straight
43.9,8,straight
43.95,8,straight
44.0,8,straight
44.05,8,straight
44.1,8,straight
44.15,8,straight
44.2,8,straight
44.25,8,straight
44.3,8,straight
44.35,8,straight
44.4,8,straight
44.5,8,straight
44.55,8,straight
44.6,8,straight
44.65,8,straight
44.7,8,straight
44.8,8,straight
44.85,8,straight
44.9,8,straight
44.95,8,straight
45.05,8,straight
45.1,8,straight
45.15,8,straight
45.2,8,straight
45.3,8,straight
45.35,9,curve
45.4,9,curve
45.5,9,curve
45.55,9,curve
45.6,9,curve
45.7,9,curve
45.75,9,curve
45.8,9,curve
45.9,9,curve
45.95,9,curve
46.0,9,curve
46.1,9,curve
46.15,9,curve
46.2,9,curve
46.3,9,curve
46.35,9,curve
46.4,9,curve
46.5,9,curve
46.55,9,curve
46.6,9,curve
46.7,9,curve
46.75,9,curve
46.85,9,curve
46.9,9,curve
46.95,9,curve
47.05,9,curve
47.1,9,curve
47.2,9,curve
47.25,9,curve
47.3,9,curve
47.4,9,curve
47.45,9,curve
47.55,9,curve
47.6,9,curve
47.7,9,curve
47.75,9,curve
47.8,9,curve
47.9,9,curve
47.95,9,curve
48.05,9,curve
48.1,9,curve
48.2,9,curve
48.25,9,curve
48.3,9,curve
48.4,9,curve
48.45,9,curve
48.55,9,curve
48.6,9,curve
48.7,9,curve
48.75,9,curve
48.85,9,curve
48.9,9,curve
49.0,9,curve
49.05,9,curve
49.15,9,curve
49.2,9,curve
49.3,9,curve
49.35,9,curve
49.45,9,curve
49.5,9,curve
49.6,9,curve
49.65,9,curve
49.75,10,straight
49.8,10,straight
49.9,10,straight
49.95,10,straight
50.05,10,straight
50.1,10,straight
50.2,10,straight
50.25,10,straight
50.35,10,straight
50.4,10,straight
50.45,10,straight
50.55,10,straight
50.6,10,straight
50.65,10,straight
50.7,10,straight
50.8,10,straight
50.85,10,straight
50.9,10,straight
50.95,10,straight
51.0,10,straight
51.05,10,straight
51.1,10,straight
51.15,10,straight
51.2,10,straight
51.25,10,straight
51.3,10,straight
51.35,10,straight
51.4,10,straight
51.45,10,straight
51.5,10,straight
51.55,10,straight
51.6,10,straight
51.65,10,straight
51.7,10,straight
51.75,10,straight
51.8,10,straight
51.85,10,straight
51.9,10,straight
51.95,10,straight
52.0,10,straight
52.05,10,straight
52.1,10,straight
52.15,10,straight
52.2,10,straight
52.25,10,straight
52.3,10,straight
52.35,10,straight
52.4,10,straight
52.45,10,straight
52.5,10,straight
52.55,10,straight
52.6,10,straight
52.65,10,straight
52.7,10,straight
52.75,10,straight
52.8,10,straight
52.85,10,straight
52.9,10,straight
52.95,10,straight
53.0,10,straight
53.05,10,straight
53.1,10,straight
53.15,10,straight
53.2,10,straight
53.25,10,straight
53.3,10,straight
53.35,10,straight
53.4,10,straight
53.45,10,straight
53.5,10,straight
53.55,10,straight
53.6,10,straight
53.65,10,straight
53.7,10,straight
53.75,10,straight
53.8,10,straight
53.85,10,straight
53.9,10,straight
53.95,10,straight
54.0,10,straight
54.05,10,straight
54.1,10,straight
54.15,10,straight
54.2,10,straight
54.25,10,straight
54.3,10,straight
54.35,10,straight
54.4,10,straight
54.45,10,straight
54.5,10,straight
54.55,10,straight
54.6,10,straight
54.65,10,straight
54.7,10,straight
54.75,10,straight
54.8,10,straight
54.85,10,straight
54.9,10,straight
54.95,10,straight
55.0,10,straight
55.05,10,straight
55.1,10,straight
55.15,10,straight
55.2,10,straight
55.25,10,straight
55.3,10,straight
55.35,10,straight
55.4,10,straight
55.45,10,straight
55.5,10,straight
55.55,10,straight
55.6,10,straight
55.65,10,straight
55.7,10,straight
55.75,10,straight
55.8,10,straight
55.85,10,straight
55.9,10,straight
55.95,10,straight
56.0,10,straight
56.05,10,straight
56.1,10,straight
56.15,10,straight
56.2,10,straight
56.25,10,straight
56.3,10,straight
56.35,10,straight
56.4,10,straight
56.45,10,straight
56.5,10,straight
56.55,10,straight
56.6,10,straight
56.65,11,curve
56.7,11,curve
56.75,11,curve
56.8,11,curve
56.85,11,curve
56.9,11,curve
56.95,12,straight
57.0,12,straight
57.05,12,straight
57.1,12,straight
57.15,12,straight
57.2,12,straight
57.25,12,straight
57.3,12,straight
57.35,12,straight
57.4,12,straight
57.45,12,straight
57.5,12,straight
57.55,12,straight
57.6,12,straight
57.65,12,straight
57.7,12,straight
57.75,12,straight
57.8,12,straight
57.85,12,straight
57.9,12,straight
57.95,12,straight
58.0,12,straight
58.05,12,straight
58.1,12,straight
58.15,12,straight
58.2,12,straight
58.25,12,straight
58.3,12,straight
58.35,12,straight
58.4,12,straight
58.45,12,straight
58.5,12,straight
58.55,12,straight
58.6,12,straight
58.65,12,straight
58.7,12,straight
58.75,12,straight
58.8,12,straight
58.85,12,straight
58.9,12,straight
58.95,12,straight
59.0,12,straight
59.05,12,straight
